File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
rand_0859.stp,18138.04,18143.97,25414.0,33347.73,33524.62,42281.05,52288.92,52507.04,64168.8,69593.17,69834.24,70150.09,18.25
rand_0860.stp,21784.4,21796.54,30372.6,40351.52,40384.17,51268.61,63441.46,64253.03,76771.84,83686.79,84350.52,84452.64,20.13
rand_0861.stp,51482.77,51520.84,67311.51,125946.6,132515.3,132616.0,156087.7,156164.3,258486.0,258504.2,268745.9,274796.1,9.18
rand_0862.stp,17520.81,17539.01,24699.05,33559.61,33676.33,41192.65,51009.86,51041.86,64464.72,68560.67,68605.34,69542.65,31.25
rand_0863.stp,57218.79,57261.47,75948.55,135970.4,136120.7,136199.2,166914.6,167006.7,268387.4,268467.7,269459.4,278639.0,9.64
rand_0864.stp,16673.41,16681.43,23476.62,33534.89,33556.49,39887.48,49492.84,49500.8,64614.25,68034.33,68048.58,69468.74,35.78
rand_0865.stp,83674.27,83872.86,109972.0,203023.1,212816.7,213744.6,250069.6,252251.1,411340.2,412196.3,426714.1,442202.2,8.40
rand_0866.stp,21695.17,21702.47,30177.16,40566.62,40584.6,50818.56,62903.54,62912.78,77427.39,84134.21,84535.6,84618.22,19.41
rand_0867.stp,55382.62,55502.58,72771.08,131859.6,135230.6,135512.9,161262.4,161356.7,260564.2,260692.0,266062.1,277605.2,8.14
rand_0868.stp,86927.06,87017.46,114049.8,205992.7,209598.5,210374.8,254968.7,255208.3,407956.6,408601.2,423900.7,433290.9,8.82
rand_0869.stp,94516.11,94583.9,125609.4,214329.7,214871.0,220111.4,270080.2,270251.6,423818.7,424454.0,426419.5,437756.2,10.17
rand_0870.stp,49783.72,49798.22,66240.35,110375.5,110677.8,116747.5,143642.2,143686.7,223241.5,223795.6,229114.1,229170.9,8.24
rand_0871.stp,52260.1,53575.12,69851.31,110654.8,111883.9,121147.2,148999.2,152269.6,209242.9,225829.9,233055.6,234563.4,7.89
rand_0872.stp,45463.01,45479.33,59709.42,108325.7,108336.2,109275.5,135550.0,135635.1,221984.7,222054.1,222588.4,223223.8,9.16
rand_0873.stp,24541.83,24554.85,33982.49,47332.44,47371.86,58128.83,71437.34,72161.37,91602.02,98535.81,99256.88,99484.72,12.15
rand_0874.stp,48798.83,48818.82,65784.29,110512.6,110632.1,117229.6,145038.2,145089.6,223852.2,226780.3,229727.3,229933.8,12.97
rand_0875.stp,24371.46,24382.0,33365.39,47248.84,47295.52,56761.2,70193.94,70202.08,92498.3,99238.24,99570.55,99597.44,12.44
rand_0876.stp,17599.45,17604.62,24574.83,33709.39,33736.19,41044.85,50807.93,50816.16,65177.23,69697.36,69769.47,69824.37,22.00
rand_0877.stp,26089.84,26104.83,36412.9,47837.14,48026.4,60696.38,74594.23,74676.28,92758.59,99371.06,99535.19,99722.08,11.88
rand_0878.stp,47064.48,47306.43,62337.7,108283.7,110292.8,112508.7,139213.3,139512.9,224358.8,224651.7,226568.0,226718.3,10.35
rand_0879.stp,80501.4,80508.38,106053.6,198506.0,210741.5,210888.2,246641.0,246701.8,409654.4,409730.2,425539.0,436928.2,12.12
rand_0880.stp,20770.54,20792.92,28708.01,40581.93,40591.4,48945.1,60659.49,60683.36,78159.86,84298.42,84383.25,84613.56,16.86
rand_0881.stp,21807.22,21820.72,30127.47,40551.89,40563.52,50512.69,62551.46,62568.67,77840.64,84387.72,85331.42,85397.77,20.22
rand_0882.stp,58046.11,58101.17,74747.44,146556.6,171250.6,171334.8,179923.7,180012.5,305192.9,305809.7,334596.6,348585.4,9.26
rand_0883.stp,96809.53,96839.16,126662.5,213932.2,214074.4,221027.3,270114.4,270275.6,416360.4,416403.5,427367.0,440646.7,7.34
rand_0884.stp,31387.69,31554.73,42081.67,69564.55,70346.44,73868.15,89338.46,90443.05,139123.1,140482.2,143651.5,143885.5,9.19
rand_0885.stp,30966.4,31004.72,42370.45,70596.21,70678.21,74638.15,91593.13,91975.44,140202.7,141143.0,141239.3,141486.1,11.37
rand_0886.stp,51369.92,51375.64,69793.03,112358.4,112569.3,121935.7,149854.9,149915.6,225531.0,226528.8,229913.2,230117.8,10.97
rand_0887.stp,33269.03,33288.79,45543.48,70670.0,70730.01,78196.17,95742.01,96087.04,140579.8,141146.5,143530.9,143618.8,10.49
rand_0888.stp,21570.49,21578.87,30036.62,40729.55,40763.31,50630.55,62583.97,62590.33,77765.22,84232.56,84276.8,84346.14,15.17
rand_0889.stp,65941.02,66660.45,86667.15,160309.5,175116.9,175167.2,194876.8,195163.9,318214.0,318899.6,335246.6,350255.5,9.07
rand_0890.stp,44754.63,44800.88,59006.31,107919.5,108659.3,108736.9,133382.8,133422.7,219004.9,219383.8,220456.1,223039.7,12.37
rand_0891.stp,30016.19,30023.66,40913.08,70237.66,70285.01,72709.61,89270.42,89455.91,138986.8,140079.3,140241.4,140612.2,10.87
rand_0892.stp,22675.88,22681.46,32050.2,40504.45,40917.94,52254.58,64541.15,64577.72,78284.81,84787.12,86027.06,86484.22,13.06
rand_0893.stp,59803.75,59856.14,76870.56,148460.3,170364.0,170569.1,181257.0,181732.8,302384.3,303477.6,332606.4,347795.7,9.21
rand_0894.stp,60138.72,60214.42,79152.6,152696.0,174566.1,174758.5,187610.1,187757.6,318364.2,319178.9,337365.0,347194.2,9.40
